Date,"(7 day moving average) Case increases(per 100,000)"
2020-12-14,79.04291861011679
2020-12-13,75.95400802690095
2020-12-12,75.86036084897134
2020-12-11,72.0056405250027
2020-12-10,67.14249557074159
2020-12-09,63.134107097660625
2020-12-08,59.48512130744478
2020-12-07,55.48938785840836
2020-12-06,51.62020464981741
2020-12-05,46.39151028672669
2020-12-04,41.66503959214665
2020-12-03,38.272408431861734
2020-12-02,36.84383700329031
2020-12-01,35.972809776910005
2020-11-30,37.09657591206565
2020-11-29,35.03669956972918
2020-11-28,34.568463680080995
2020-11-27,35.814441190295405
2020-11-26,35.94822287305203
2020-11-25,34.80493184365621
2020-11-24,31.717467548902626
2020-11-23,29.336153595834684
2020-11-22,29.897675091296957
2020-11-21,28.6860469320606
2020-11-20,26.673174964746718
2020-11-19,24.463246194453482
2020-11-18,22.817731496546987
2020-11-17,21.969121741331303
2020-11-16,20.748454279205987
2020-11-15,19.78016415374046
2020-11-14,18.592038182015404
2020-11-13,17.14141085439491
2020-11-12,17.00582131106049
2020-11-11,16.152149546226994
2020-11-10,15.383447228549732
2020-11-09,14.905087319665906
2020-11-08,13.777705463354666
2020-11-07,12.637668582998879
2020-11-06,12.357088621325522
2020-11-05,11.451712043967168
2020-11-04,11.316122500632748
2020-11-03,11.018548649528146
2020-11-02,10.709042918610114
2020-11-01,10.306613153993563
2020-10-31,10.556097913728893
2020-10-30,10.866326788878041
2020-10-29,11.63539067867086
2020-10-28,11.18306396210724
2020-10-27,10.890913692736016
2020-10-26,10.926347760060745
2020-10-25,11.104602813031061
2020-10-24,10.252377336659794
2020-10-23,9.17995444191344
2020-10-22,8.071374335611237
2020-10-21,8.212025888563474
2020-10-20,7.835629316267129
2020-10-19,7.507321835340058
2020-10-18,7.498282532451095
2020-10-17,7.838521893191597
2020-10-16,8.269154282821708
2020-10-15,8.533463499294934
2020-10-14,8.622410239722312
2020-10-13,8.65784430704704
2020-10-12,8.404382254040566
2020-10-11,8.26192284051054
2020-10-10,8.439093177134179
2020-10-09,7.711971652746141
2020-10-08,7.633872075785514
2020-10-07,7.4483855805040315
2020-10-06,7.606031022887514
2020-10-05,7.781393498933361
2020-10-04,7.745236287377517
2020-10-03,7.664967277723542
2020-10-02,8.401851249231658
2020-10-01,8.333152547275555
2020-09-30,8.372202335755867
2020-09-29,8.35267744151571
2020-09-28,8.521893191597062
2020-09-27,8.644466138771376
2020-09-26,8.714611129189716
2020-09-25,8.753299345554469
2020-09-24,8.836460932132912
2020-09-23,8.861047835990886
2020-09-22,8.790179701341433
2020-09-21,8.647358715695844
2020-09-20,8.488628556965688
2020-09-19,8.618794518566729
2020-09-18,8.547564811801713
2020-09-17,8.437646888671946
2020-09-16,8.473804100227792
2020-09-15,7.99146689807282
2020-09-14,8.150920201034095
2020-09-13,8.23625122030589
2020-09-12,8.337491412662255
2020-09-11,8.644466138771376
2020-09-10,9.288064504465414
2020-09-09,9.934193874968361
2020-09-08,10.888382687927106
2020-09-07,11.262971399645659
2020-09-06,11.655277145026576
2020-09-05,12.076508659652166
2020-09-04,12.085547962541128
2020-09-03,12.166178544310663
2020-09-02,11.914885923997542
2020-09-01,12.547275554109266
2020-08-31,12.824962938858155
2020-08-30,13.103373467838159
2020-08-29,13.359004953537982
2020-08-28,13.928481035542537
2020-08-27,14.0210434971255
2020-08-26,14.559785949307587
2020-08-25,14.617637487796939
2020-08-24,14.674042737824058
2020-08-23,15.224717069819574
2020-08-22,15.621000108471634
2020-08-21,17.811403984524713
2020-08-20,18.66073688397151
2020-08-19,19.0819683985971
2020-08-18,21.063745163972953
2020-08-17,23.90714828072459
2020-08-16,24.370683732870514
2020-08-15,24.551469790649744
2020-08-14,22.655747188776804
2020-08-13,22.837256390787143
2020-08-12,22.17666413566186
2020-08-11,19.880681201865713
2020-08-10,16.997505152402645
2020-08-09,16.270022055899048
2020-08-08,16.508298080052064
2020-08-07,16.208554796254113
2020-08-06,16.082004555808656
2020-08-05,17.86780923455183
2020-08-04,19.11884875438406
2020-08-03,19.651806052717212
2020-08-02,20.068337129840547
2020-08-01,19.78884188451386
2020-07-31,21.063022019741833
2020-07-30,21.653107712333224
2020-07-29,22.319485121307444
2020-07-28,23.784575333550272
2020-07-27,24.95281483891962
2020-07-26,24.936544093719494
2020-07-25,25.323426257367032
2020-07-24,25.00994323317786
2020-07-23,25.106844560147522
2020-07-22,23.842788444155186
2020-07-21,23.234985717901434
2020-07-20,22.553422280073757
2020-07-19,23.100119318798132
2020-07-18,22.78591315037784
2020-07-17,22.36938207325451
2020-07-16,21.578262284412627
2020-07-15,21.031203673572694
2020-07-14,21.236576635209893
2020-07-13,20.782442058068483
2020-07-12,19.821021802798565
2020-07-11,19.870557182630073
2020-07-10,20.270455942437717
2020-07-09,19.50753877860939
2020-07-08,19.282279350616477
2020-07-07,17.732219691217413
2020-07-06,18.95794916296055
2020-07-05,19.793180749900564
2020-07-04,18.423907148280723
2020-07-03,17.2737462486893
2020-07-02,16.98521170047366
2020-07-01,16.602306830097262
2020-06-30,16.509021224283185
2020-06-29,14.896048016776945
2020-06-28,13.529666992081571
2020-06-27,13.423003217991825
2020-06-26,12.671294789745813
2020-06-25,12.464113967530823
2020-06-24,12.006725241349384
2020-06-23,10.671077846476477
2020-06-22,9.618541418085837
2020-06-21,9.028094153378891
2020-06-20,8.556965686806235
2020-06-19,8.472719383881115
2020-06-18,7.88878041725422
2020-06-17,7.529377734389123
2020-06-16,7.2571139313736115
2020-06-15,7.279531402538235
2020-06-14,7.246989912137975
2020-06-13,7.096575912065661
2020-06-12,6.899519109086306
2020-06-11,7.041255378385218
2020-06-10,6.690530426293523
2020-06-09,6.573019488737027
2020-06-08,6.62147015222186
2020-06-07,6.59109809451495
2020-06-06,6.91976714755758
2020-06-05,6.87529377734389
2020-06-04,6.5480710127634945
2020-06-03,6.763929565751888
2020-06-02,6.71692519072929
2020-06-01,6.67028238782225
2020-05-31,6.462378421376143
2020-05-30,5.874462161478107
2020-05-29,5.583396608453556
2020-05-28,5.604367791155945
2020-05-27,5.395740680478721
2020-05-26,5.401164262212098
2020-05-25,5.108290848609755
2020-05-24,5.015366814911234
2020-05-23,5.003434935097805
2020-05-22,4.8841161369635175
2020-05-21,4.712369382073254
2020-05-20,4.670065444552916
2020-05-19,4.488194670427016
2020-05-18,4.5163972954405756
2020-05-17,4.396355353075171
2020-05-16,4.422750117510938
2020-05-15,4.492171963698159
2020-05-14,4.537730050258523
2020-05-13,4.456737896373432
2020-05-12,4.761904761904761
2020-05-11,4.7011606464909415
2020-05-10,4.723578117655565
2020-05-09,4.470477636764653
2020-05-08,4.364175434790469
2020-05-07,4.229309035687168
2020-05-06,4.452760603102289
2020-05-05,4.042737824059008
2020-05-04,4.148316881802075
2020-05-03,4.140723867375348
2020-05-02,3.9989875980764364
2020-05-01,4.0452688288679175
2020-04-30,4.175434790468958
2020-04-29,4.014896771161007
2020-04-28,4.255703800122935
2020-04-27,4.514589434862783
2020-04-26,4.277759699171999
2020-04-25,4.401778934808547
2020-04-24,4.239794627038362
2020-04-23,4.044907256752359
2020-04-22,3.967169251907293
2020-04-21,3.587880102686481
2020-04-20,3.1203673572694073
2020-04-19,3.0874642947535884
2020-04-18,3.018404020681925
2020-04-17,2.9128249629388585
2020-04-16,2.846657265791663
2020-04-15,2.699858986874932
2020-04-14,2.7020284195682827
2020-04-13,2.8969157898542863
2020-04-12,3.021296597606392
2020-04-11,3.105542900531511
2020-04-10,3.1713490255631487
2020-04-09,3.29681454966193
2020-04-08,3.18255776114546
2020-04-07,3.031059044726471
2020-04-06,2.8524424196405973
2020-04-05,2.7949524532668035
2020-04-04,2.6694869291680225
2020-04-03,2.4666449723397332
2020-04-02,2.236323534729002
2020-04-01,2.097118270238999
2020-03-31,1.9452579817044509
2020-03-30,1.7044509527425242
2020-03-29,1.5084788661098452
2020-03-28,1.2163285967386195
2020-03-27,1.0181870774125898
2020-03-26,0.7527931445926891
2020-03-25,0.6305817695339336
2020-03-24,0.5853852550891274
2020-03-23,0.5054778175507105
2020-03-22,0.449434139639151
2020-03-21,0.3713345626785263
2020-03-20,0.31131359149582377
2020-03-19,0.26105506743319956
2020-03-18,0.16415374046353545
2020-03-17,0.12655024044545685
2020-03-16,0.07990743753841703
2020-03-15,0.07412228368948186
2020-03-14,0.066167697147196
2020-03-13,0.05134324040929963
2020-03-12,0.053874245218208765
2020-03-11,0.037603500018078606
2020-03-10,0.02892576924467585
